,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
14366,hi-five,i like the way (the kissing game),1,0u16RbrSY7DWF3WAr0aaZ3,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.163,0.149,67.197,287400,4
14367,surface,the first time,1,60Iwu57QTP1EyEiy3tf2nB,0.512,0.947,9,-5.659,0,0.0401,0.000692,0.114,0.0283,0.612,117.461,256933,4
14368,amy grant,baby baby,1,3IDsegNBHC4pjGCOMTQYlU,0.607,0.86,7,-8.994,1,0.0335,0.000354,0.0232,0.263,0.34,99.072,205467,4
14369,boyz ii men,motownphilly,1,4LxIGAVfcQIw0zAQRyFhU8,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,316867,4
14370,stevie b,because i love you (the postman song),1,6GWAYg3cZzizs3FAJzdydD,0.397,0.776,5,-6.339,1,0.0381,0.0983,4.09e-06,0.189,0.127,76.301,239667,4
14371,damn yankees,high enough,1,5t5rCnsgRBtcKqTB7SbD1Q,0.505,0.631,9,-10.433,0,0.038,0.0203,2.21e-05,0.141,0.835,118.178,237467,4
14372,bette midler,from a distance,1,48eiLW57CqSmCYNZRM2J8M,0.263,0.759,0,-7.288,1,0.0431,0.0555,0.0,0.231,0.429,179.904,284496,4
14373,whitney houston,all the man that i need,1,07M76e7IXxYdnC1BBiJxEX,0.681,0.773,2,-6.051,1,0.058,0.181,1.84e-05,0.311,0.547,120.276,236640,4
14374,jesus jones,"right here, right now",1,3fcGGP62sllcNEhuFJVYeC,0.722,0.54,0,-14.025,1,0.0303,0.028,0.00319,0.133,0.608,131.676,322897,4
14375,color me badd,i adore mi amor,1,05R2lE5g9hnaSmxIrUl3C0,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,308667,4
14376,janet jackson,love will never do (without you),1,1SkJ8HjZUZRPYT3R2rh5sA,0.384,0.535,9,-9.939,1,0.0289,0.238,0.00045,0.0533,0.232,132.445,354640,4
14377,marky mark and the funky bunch,good vibrations,1,5hWdgGVcfTeLPAiHM6EZG9,0.568,0.939,7,-7.127,1,0.0466,0.00267,0.0464,0.0863,0.498,145.999,194840,4
14378,madonna,justify my love,1,6NBGabiAuQklrfkufcOqlN,0.57,0.931,4,-5.78,0,0.0503,0.0429,0.0,0.375,0.4,105.37,247307,4
